valid_time,pressure_level,latitude,longitude,surface_wind,low-level_wind,jet_stream,atmos_stability1,atmos_stability2,thermal_wind_y_grad,thermal_wind_x_grad
1979-01-01,0,43.7,-79.65,9.235241,38.225266,41.805065,0.006283183317769643,0.004860539298814614,13.871201517800547,0.6160699059486088
1979-01-02,0,43.7,-79.65,3.056978,14.821391,50.664433,0.010614789537067675,0.005494755435567329,10.174177986054307,-6.11445679645259
1979-01-03,0,43.7,-79.65,9.5834675,18.582544,21.982265,0.00202852268815494,0.004856236759499601,8.98328437626294,-2.2755693613799193
1979-01-04,0,43.7,-79.65,11.240534,23.39577,31.440422,0.0033336110815736907,0.005637861618345603,4.272438560905976,-0.3780862206004644
1979-01-05,0,43.7,-79.65,9.204325,22.019072,35.433475,0.005029125841043263,0.005005683383845859,2.77203504483485,-0.247920701771537
1979-01-06,0,43.7,-79.65,6.813685,20.628195,31.506878,0.004204260104647258,0.0056382742231679715,2.2838667202447063,-0.5566919394798908
1979-01-07,0,43.7,-79.65,6.4620414,19.044476,38.580814,0.007942160773593233,0.006834220684919736,2.20574462401421,-2.122498714710084
1979-01-08,0,43.7,-79.65,5.031429,6.475262,36.197235,0.005050202430784338,0.006393404188690093,6.4108783564916045,-2.848647742629818
1979-01-09,0,43.7,-79.65,7.0227814,19.675508,27.936253,0.0047307955891161746,0.005242640542858106,3.609269434777678,-1.5552945941280247
1979-01-10,0,43.7,-79.65,7.747183,16.983082,40.336487,0.0024497944765074276,0.00696525008986651,6.048650088074387,-0.3494590265084857
1979-01-11,0,43.7,-79.65,4.4244776,11.709322,25.614151,0.001815536033995625,0.0063130812275496336,7.853683725173727,0.19500399206326702
1979-01-12,0,43.7,-79.65,4.1494684,10.867172,25.631899,0.006581482815676395,0.0057941895822388265,6.726490856180542,2.757615662553133
1979-01-13,0,43.7,-79.65,2.00339,17.788342,27.673418,0.010473196567102905,0.004918284070070049,8.5839751674905,1.7812603718886817
1979-01-14,0,43.7,-79.65,8.203621,26.247322,29.319662,0.00786861314460267,0.004068986328181446,12.146711631576093,-0.9839233523953164
1979-01-15,0,43.7,-79.65,8.41893,21.736698,36.64522,0.0030497252809063386,0.006374835810213295,8.527877934199683,-1.3047999878093615
1979-01-16,0,43.7,-79.65,6.7035594,20.679876,39.318077,0.004123685087338658,0.00687207619683166,9.538871837457007,0.16450111211233107
1979-01-17,0,43.7,-79.65,5.638581,27.16525,33.391724,0.004549856794492242,0.005389341327517801,13.642689235459157,4.557848832085848
1979-01-18,0,43.7,-79.65,5.4924273,18.787724,33.692017,0.002726111902178949,0.004902899110606154,12.8347142489755,1.173221792060371
1979-01-19,0,43.7,-79.65,2.5506163,6.520336,24.574736,0.01106833642769846,0.007110418332453503,5.187992105646861,1.1903287441829506
1979-01-20,0,43.7,-79.65,3.6867278,15.052256,24.083284,0.010923260856883919,0.004956214428221359,6.4727960312538695,2.8778462470883417
1979-01-21,0,43.7,-79.65,3.0344694,6.1104703,4.5002294,0.010673009219210052,0.005517027088082808,3.65888219766455,-3.4618248567739576
1979-01-22,0,43.7,-79.65,5.8662553,16.985638,14.150941,0.009250270648547084,0.004675991181332446,2.749728056535093,-4.550162909995718
1979-01-23,0,43.7,-79.65,5.2403755,17.625092,21.663013,0.008381809901834592,0.004559522673388744,6.681463586145165,-0.16897935068518688
1979-01-24,0,43.7,-79.65,3.7545025,23.127937,20.011753,0.007037730404326929,0.0047033492941538435,4.673224815844269,1.7401913583745914
1979-01-25,0,43.7,-79.65,1.7730849,12.746717,12.954392,0.006940939892518516,0.004996078668762737,1.550494740427368,0.6994518399015848
1979-01-26,0,43.7,-79.65,4.2293625,5.315249,12.072465,0.005824153723675693,0.0063771877727863404,1.6634045301592701,-0.48697710308417785
1979-01-27,0,43.7,-79.65,1.8575718,1.124036,5.2037706,0.0047378946294100565,0.006107244664467787,3.07553175674181,-0.1736325849661003
1979-01-28,0,43.7,-79.65,4.1287003,3.4228404,7.1541433,0.005792544734964052,0.004727845328076949,4.1158194067336895,-0.9429419509901382
1979-01-29,0,43.7,-79.65,5.7694764,15.3815975,9.119318,0.008054949480989509,0.0048137303032690995,4.112213479696437,-2.025591134476415
1979-01-30,0,43.7,-79.65,4.644364,17.560762,8.01635,0.008119515040753615,0.004859903049402427,5.407517767030557,-0.7267560503251235
1979-01-31,0,43.7,-79.65,3.3111389,8.518819,2.2079275,0.007934111322240223,0.0040656054134371325,4.785332755118689,-0.04904558946362598
1979-02-01,0,43.7,-79.65,6.6295586,17.087774,15.332312,0.0070172215240525485,0.005179442613687464,4.195415586388459,-1.0860827048403892
1979-02-02,0,43.7,-79.65,5.097091,12.140422,15.967944,0.007326770652205365,0.005242771436549366,5.683853624905625,1.6158458599362642
1979-02-03,0,43.7,-79.65,3.5444121,7.808142,14.239164,0.006034310545243362,0.004559635960235854,3.904660909032906,0.4516335216927531
1979-02-04,0,43.7,-79.65,8.014821,22.180147,30.297443,0.0043572532787518065,0.004449898001792617,3.832906974369177,-0.6987502225793991
1979-02-05,0,43.7,-79.65,7.443289,24.27081,39.971653,0.0021696917601880454,0.004982194767897695,2.2630946606113165,0.13463231219805358
1979-02-06,0,43.7,-79.65,5.9132156,12.479655,34.73394,0.008495009343835111,0.005907700659347091,7.990192155502929,0.6859942618053951
1979-02-07,0,43.7,-79.65,3.1882942,13.671267,26.870989,0.00960391169150133,0.006060183326894138,7.195661031172285,-1.0202561549610178
1979-02-08,0,43.7,-79.65,6.674347,16.987793,26.022789,0.007784020810814104,0.004315455521221155,8.557061167228,-0.1892756756202547
1979-02-09,0,43.7,-79.65,3.7930198,7.9400415,18.565966,0.0032627427678199473,0.005710507121510256,8.192318988103173,-1.7723171883176285
1979-02-10,0,43.7,-79.65,2.1866686,9.741281,31.557585,0.0030704303865145837,0.006619246575196988,6.759466881862275,1.3212590740672845
1979-02-11,0,43.7,-79.65,3.541118,4.90671,31.620396,0.007984699563930213,0.006994857334748157,3.3764673973242196,1.4294489393492198
1979-02-12,0,43.7,-79.65,2.5278206,8.153256,29.743805,0.007307524823115504,0.0059454750952082774,6.776404146221476,0.9045669124358926
1979-02-13,0,43.7,-79.65,3.1222434,7.9891233,28.866617,0.0062629343235873205,0.005498522868660604,7.257346375426108,1.1578533727556592
1979-02-14,0,43.7,-79.65,1.86926,6.7686524,39.475986,0.01051046270034813,0.00761475149237013,5.012060465277653,1.3259678476170433
1979-02-15,0,43.7,-79.65,2.6186502,5.202494,33.9857,0.01318150253259083,0.007958021374719272,5.574476469129595,-1.045978826510135
1979-02-16,0,43.7,-79.65,3.1866188,6.446389,35.42821,0.011395145665930266,0.007551493324635255,7.8972702104287675,-0.325376643712533
1979-02-17,0,43.7,-79.65,4.248377,8.573435,39.870365,0.008013166149051138,0.00754825808564068,3.1056289709074134,0.29743003240987315
1979-02-18,0,43.7,-79.65,1.4271803,11.517215,16.231651,0.01566552657404519,0.005212696231607573,-1.125670692135767,-3.116729695081283
1979-02-19,0,43.7,-79.65,4.0770283,11.417518,9.864931,0.009449532608831229,0.004404637794394629,2.7146964389590087,-0.7215813512996393
1979-02-20,0,43.7,-79.65,7.154895,18.589323,25.019058,0.011205301456351239,0.003718320659076466,2.5122710484509074,-0.6785261955327314
1979-02-21,0,43.7,-79.65,9.063219,35.83828,27.67998,0.007421421471194796,0.003942667398060629,6.168184405528971,0.37059957678165545
1979-02-22,0,43.7,-79.65,7.8054905,26.199425,33.810314,0.006631833402378797,0.0048012867002985874,5.289479039109881,-0.5556635737609686
1979-02-23,0,43.7,-79.65,3.8556452,27.625729,22.134922,0.01031064847118288,0.0041656625665262605,2.2157071733630955,1.8992164900004296
1979-02-24,0,43.7,-79.65,4.409882,16.609411,30.075684,0.010664278061778125,0.0035001714620744345,1.3755948086958922,-0.47194410979333556
1979-02-25,0,43.7,-79.65,2.5025787,3.127156,18.078442,0.009699010409729808,0.004846884329548814,11.658869069214434,-1.8314308623457278
1979-02-26,0,43.7,-79.65,2.5788817,10.101578,6.5798683,0.010630316355131843,0.005638172308075541,4.289581524313439,-0.6375240649445647
1979-02-27,0,43.7,-79.65,4.372973,9.049641,16.097862,0.0057394481324940004,0.00514023252822198,1.9287108312718508,1.955062009966363
1979-02-28,0,43.7,-79.65,4.326359,8.297294,13.150609,0.00625365085956195,0.004590909175273617,2.0658726244710315,-0.42679740574711084
1979-03-01,0,43.7,-79.65,2.1128576,12.190586,14.153216,0.0073826851020971605,0.004121695425794922,9.83840351805583,-1.1283817963200788
1979-03-02,0,43.7,-79.65,5.407948,10.529926,14.99327,0.007641156462336814,0.003632043048653606,3.200885412230621,-0.7423822013546525
1979-03-03,0,43.7,-79.65,4.043034,17.018488,15.004184,0.010432901189682292,0.003806051225067845,2.2470001538738025,-0.11241680334021471
1979-03-04,0,43.7,-79.65,4.924675,35.412045,24.854315,0.008952282108766226,0.004578138916069066,2.6332544249883254,0.6426967999174683
1979-03-05,0,43.7,-79.65,4.735373,23.31401,37.985947,0.007833027258686513,0.00413551524561697,1.608209709198747,-0.9827739103640116
